node_type,parent_node,join_type,relation_name,alias,plan_rows,actual_rows,startup_cost,total_cost,plan_width,selectivity,cost_ratio,log_plan_rows,filter,hash_cond,index_cond
Limit,ROOT,None,None,None,23.0,23.0,277.96,278.02,95.0,1.0,1.0002158583968916,1.361728,none,none,none
Sort,Limit,None,None,None,224.0,23.0,277.96,278.52,95.0,1.0,1.0020146783709887,2.350248,none,none,none
Aggregate,Sort,None,None,None,224.0,49.0,263.37,271.77,95.0,1.0,1.031894293199681,2.350248,countrental_id > #,none,none
Nested Loop,Aggregate,Inner,None,None,672.0,804.0,62.69,258.33,91.0,1.0,4.120752911150103,2.827369,none,none,none
Hash Join,Nested Loop,Inner,None,None,192.0,231.0,62.41,152.32,91.0,0.2857142857142857,2.440634513699728,2.283301,none,film_id=film_id,none
Seq Scan,Hash Join,None,inventory,i,4581.0,4581.0,0.0,70.81,6.0,1.0,70.81,3.66096,none,none,none
Hash,Hash Join,None,None,None,42.0,51.0,61.88,61.88,89.0,0.21875,1.0,1.623249,none,none,none
Nested Loop,Hash,Inner,None,None,42.0,51.0,1.49,61.88,89.0,1.0,41.530201342281885,1.623249,none,none,none
Hash Join,Nested Loop,Inner,None,None,62.0,69.0,1.21,20.53,70.0,1.0,16.96694214876033,1.792392,none,category_id=category_id,none
Seq Scan,Hash Join,None,film_category,fc,1000.0,1000.0,0.0,16.0,4.0,1.0,16.0,3.0,none,none,none
Hash,Hash Join,None,None,None,1.0,1.0,1.2,1.2,72.0,0.016129032258064516,1.0,0.0,none,none,none
Seq Scan,Hash,None,category,c,1.0,1.0,0.0,1.2,72.0,1.0,1.2,0.0,name::text ~~ '%family%'::text,none,none
Index Scan,Nested Loop,None,film,f,1.0,1.0,0.28,0.67,19.0,0.023809523809523808,2.392857142857143,0.0,length > #,none,none
Index Scan,Nested Loop,None,rental,r,4.0,3.0,0.29,0.51,8.0,0.005952380952380952,1.7586206896551726,0.60206,none,none,none
Limit,ROOT,None,None,None,93.0,93.0,424.48,427.96,25.0,1.0,1.0081982661138333,1.968483,none,none,none
Aggregate,Limit,None,None,None,200.0,93.0,424.48,431.97,25.0,1.0,1.0176451187335092,2.30103,countpayment_id > #,none,none
Hash Join,Aggregate,Inner,None,None,14595.0,14596.0,22.48,351.51,21.0,1.0,15.636565836298931,4.164204,none,customer_id=customer_id,none
Seq Scan,Hash Join,None,payment,p,14595.0,14596.0,0.0,290.45,6.0,1.0,290.45,4.164204,payment_date > '#-#-# #:#:#'::timestamp without time zone,none,none
Hash,Hash Join,None,None,None,599.0,599.0,14.99,14.99,17.0,0.041041452552243916,1.0,2.777427,none,none,none
Seq Scan,Hash,None,customer,c,599.0,599.0,0.0,14.99,17.0,1.0,14.99,2.777427,none,none,none
Limit,ROOT,None,None,None,22.0,4.0,217.02,217.08,95.0,1.0,1.0002764722145425,1.342423,none,none,none
Sort,Limit,None,None,None,115.0,4.0,217.02,217.31,95.0,1.0,1.0013362823702885,2.060698,none,none,none
Aggregate,Sort,None,None,None,115.0,4.0,209.58,213.88,95.0,1.0,1.0205172249260426,2.060698,countrental_id > #,none,none
Nested Loop,Aggregate,Inner,None,None,354.0,320.0,62.44,206.93,91.0,1.0,3.3140614990390778,2.549003,none,none,none
Hash Join,Nested Loop,Inner,None,None,101.0,93.0,62.16,151.16,91.0,0.2853107344632768,2.431788931788932,2.004321,none,film_id=film_id,none
Seq Scan,Hash Join,None,inventory,i,4581.0,4581.0,0.0,70.81,6.0,1.0,70.81,3.66096,none,none,none
Hash,Hash Join,None,None,None,22.0,19.0,61.88,61.88,89.0,0.21782178217821782,1.0,1.342423,none,none,none
Nested Loop,Hash,Inner,None,None,22.0,19.0,1.49,61.88,89.0,1.0,41.530201342281885,1.342423,none,none,none
Hash Join,Nested Loop,Inner,None,None,62.0,64.0,1.21,20.53,70.0,1.0,16.96694214876033,1.792392,none,category_id=category_id,none
Seq Scan,Hash Join,None,film_category,fc,1000.0,1000.0,0.0,16.0,4.0,1.0,16.0,3.0,none,none,none
Hash,Hash Join,None,None,None,1.0,1.0,1.2,1.2,72.0,0.016129032258064516,1.0,0.0,none,none,none
Seq Scan,Hash,None,category,c,1.0,1.0,0.0,1.2,72.0,1.0,1.2,0.0,name::text ~~ '%action%'::text,none,none
Index Scan,Nested Loop,None,film,f,1.0,0.0,0.28,0.67,19.0,0.045454545454545456,2.392857142857143,0.0,length > #,none,none
Index Scan,Nested Loop,None,rental,r,4.0,3.0,0.29,0.51,8.0,0.011299435028248588,1.7586206896551726,0.60206,none,none,none
Limit,ROOT,None,None,None,14.0,0.0,222.27,222.3,25.0,1.0,1.000134970981239,1.146128,none,none,none
Sort,Limit,None,None,None,67.0,0.0,222.27,222.43,25.0,1.0,1.0007198452332748,1.826075,none,none,none
Aggregate,Sort,None,None,None,67.0,0.0,218.15,220.65,25.0,1.0,1.0114600045840019,1.826075,countfilm_id > #,none,none
Hash Join,Aggregate,Inner,None,None,1218.0,1184.0,109.79,212.06,19.0,1.0,1.9315056016030603,3.085647,none,actor_id=actor_id,none
Hash Join,Hash Join,Inner,None,None,1218.0,1184.0,103.29,202.3,4.0,1.0,1.958563268467422,3.085647,none,film_id=film_id,none
Seq Scan,Hash Join,None,film_actor,fa,5462.0,5462.0,0.0,84.62,4.0,1.0,84.62,3.737352,none,none,none
Hash,Hash Join,None,None,None,223.0,223.0,100.5,100.5,4.0,0.18308702791461412,1.0,2.348305,none,none,none
Seq Scan,Hash,None,film,f,223.0,223.0,0.0,100.5,4.0,1.0,100.5,2.348305,rating = 'pg-#'::mpaa_rating,none,none
Hash,Hash Join,None,None,None,200.0,200.0,4.0,4.0,17.0,0.16420361247947454,1.0,2.30103,none,none,none
Seq Scan,Hash,None,actor,a,200.0,200.0,0.0,4.0,17.0,1.0,4.0,2.30103,none,none,none
Limit,ROOT,None,None,None,37.0,0.0,220.24,220.33,25.0,1.0,1.0004086451144207,1.568202,none,none,none
Sort,Limit,None,None,None,67.0,0.0,220.24,220.41,25.0,1.0,1.0007718852161278,1.826075,none,none,none
Aggregate,Sort,None,None,None,67.0,0.0,215.71,218.21,25.0,1.0,1.0115896342311437,1.826075,countfilm_id > #,none,none
Hash Join,Aggregate,Inner,None,None,972.0,976.0,109.22,210.85,19.0,1.0,1.9305072331074895,2.987666,none,actor_id=actor_id,none
Hash Join,Hash Join,Inner,None,None,972.0,976.0,102.72,201.74,4.0,1.0,1.9639797507788164,2.987666,none,film_id=film_id,none
Seq Scan,Hash Join,None,film_actor,fa,5462.0,5462.0,0.0,84.62,4.0,1.0,84.62,3.737352,none,none,none
Hash,Hash Join,None,None,None,178.0,178.0,100.5,100.5,4.0,0.1831275720164609,1.0,2.25042,none,none,none
Seq Scan,Hash,None,film,f,178.0,178.0,0.0,100.5,4.0,1.0,100.5,2.25042,rating = 'g'::mpaa_rating,none,none
Hash,Hash Join,None,None,None,200.0,200.0,4.0,4.0,17.0,0.205761316872428,1.0,2.30103,none,none,none
Seq Scan,Hash,None,actor,a,200.0,200.0,0.0,4.0,17.0,1.0,4.0,2.30103,none,none,none
Limit,ROOT,None,None,None,12.0,1.0,186.14,186.17,95.0,1.0,1.0001611690125711,1.079181,none,none,none
Sort,Limit,None,None,None,62.0,1.0,186.14,186.29,95.0,1.0,1.0008058450628559,1.792392,none,none,none
Aggregate,Sort,None,None,None,62.0,1.0,182.39,184.72,95.0,1.0,1.0127748231810956,1.792392,countrental_id > #,none,none
Nested Loop,Aggregate,Inner,None,None,193.0,198.0,62.32,180.94,91.0,1.0,2.9034017971758663,2.285557,none,none,none
Hash Join,Nested Loop,Inner,None,None,55.0,59.0,62.04,150.57,91.0,0.2849740932642487,2.4269825918762087,1.740363,none,film_id=film_id,none
Seq Scan,Hash Join,None,inventory,i,4581.0,4581.0,0.0,70.81,6.0,1.0,70.81,3.66096,none,none,none
Hash,Hash Join,None,None,None,12.0,13.0,61.89,61.89,89.0,0.21818181818181817,1.0,1.079181,none,none,none
Nested Loop,Hash,Inner,None,None,12.0,13.0,1.49,61.89,89.0,1.0,41.53691275167785,1.079181,none,none,none
Hash Join,Nested Loop,Inner,None,None,62.0,64.0,1.21,20.53,70.0,1.0,16.96694214876033,1.792392,none,category_id=category_id,none
Seq Scan,Hash Join,None,film_category,fc,1000.0,1000.0,0.0,16.0,4.0,1.0,16.0,3.0,none,none,none
Hash,Hash Join,None,None,None,1.0,1.0,1.2,1.2,72.0,0.016129032258064516,1.0,0.0,none,none,none
Seq Scan,Hash,None,category,c,1.0,1.0,0.0,1.2,72.0,1.0,1.2,0.0,name::text ~~ '%action%'::text,none,none
Index Scan,Nested Loop,None,film,f,1.0,0.0,0.28,0.67,19.0,0.08333333333333333,2.392857142857143,0.0,length > #,none,none
Index Scan,Nested Loop,None,rental,r,4.0,3.0,0.29,0.51,8.0,0.02072538860103627,1.7586206896551726,0.60206,none,none,none
Limit,ROOT,None,None,None,81.0,81.0,0.56,423.08,25.0,1.0,755.4999999999999,1.908485,none,none,none
Aggregate,Limit,None,None,None,200.0,81.0,0.56,1043.82,25.0,1.0,1863.9642857142853,2.30103,countpayment_id > #,none,none
Merge Join,Aggregate,Inner,None,None,14595.0,9020.0,0.56,963.36,21.0,1.0,1720.2857142857142,4.164204,none,none,none
Index Scan,Merge Join,None,customer,c,599.0,372.0,0.28,37.63,17.0,0.041041452552243916,134.39285714285714,2.777427,none,none,none
Index Scan,Merge Join,None,payment,p,14595.0,9020.0,0.29,741.8,6.0,1.0,2557.9310344827586,4.164204,payment_date > '#-#-# #:#:#'::timestamp without time zone,none,none
Limit,ROOT,None,None,None,93.0,67.0,424.48,427.96,25.0,1.0,1.0081982661138333,1.968483,none,none,none
Aggregate,Limit,None,None,None,200.0,67.0,424.48,431.97,25.0,1.0,1.0176451187335092,2.30103,countpayment_id > #,none,none
Hash Join,Aggregate,Inner,None,None,14595.0,14596.0,22.48,351.51,21.0,1.0,15.636565836298931,4.164204,none,customer_id=customer_id,none
Seq Scan,Hash Join,None,payment,p,14595.0,14596.0,0.0,290.45,6.0,1.0,290.45,4.164204,payment_date > '#-#-# #:#:#'::timestamp without time zone,none,none
Hash,Hash Join,None,None,None,599.0,599.0,14.99,14.99,17.0,0.041041452552243916,1.0,2.777427,none,none,none
Seq Scan,Hash,None,customer,c,599.0,599.0,0.0,14.99,17.0,1.0,14.99,2.777427,none,none,none
Limit,ROOT,None,None,None,16.0,20.0,62.2,62.24,85.0,1.0,1.0006430868167202,1.20412,none,none,none
Sort,Limit,None,None,None,16.0,20.0,62.2,62.24,85.0,1.0,1.0006430868167202,1.20412,none,none,none
Nested Loop,Sort,Inner,None,None,16.0,20.0,1.49,61.88,85.0,1.0,41.530201342281885,1.20412,none,none,none
Hash Join,Nested Loop,Inner,None,None,62.0,62.0,1.21,20.53,70.0,1.0,16.96694214876033,1.792392,none,category_id=category_id,none
Seq Scan,Hash Join,None,film_category,fc,1000.0,1000.0,0.0,16.0,4.0,1.0,16.0,3.0,none,none,none
Hash,Hash Join,None,None,None,1.0,1.0,1.2,1.2,72.0,0.016129032258064516,1.0,0.0,none,none,none
Seq Scan,Hash,None,category,c,1.0,1.0,0.0,1.2,72.0,1.0,1.2,0.0,name::text = 'drama'::text,none,none
Index Scan,Nested Loop,None,film,f,1.0,0.0,0.28,0.67,21.0,0.0625,2.392857142857143,0.0,length > #,none,none
Limit,ROOT,None,None,None,6.0,6.0,290.77,290.79,95.0,1.0,1.000068782886818,0.778151,none,none,none
Sort,Limit,None,None,None,249.0,6.0,290.77,291.4,95.0,1.0,1.0021666609347595,2.396199,none,none,none
Aggregate,Sort,None,None,None,249.0,37.0,276.97,286.31,95.0,1.0,1.0337220637614182,2.396199,countrental_id > #,none,none
Nested Loop,Aggregate,Inner,None,None,753.0,638.0,62.75,271.33,91.0,1.0,4.323984063745019,2.876795,none,none,none
Hash Join,Nested Loop,Inner,None,None,215.0,185.0,62.47,152.61,91.0,0.2855245683930943,2.442932607651673,2.332438,none,film_id=film_id,none
Seq Scan,Hash Join,None,inventory,i,4581.0,4581.0,0.0,70.81,6.0,1.0,70.81,3.66096,none,none,none
Hash,Hash Join,None,None,None,47.0,43.0,61.88,61.88,89.0,0.2186046511627907,1.0,1.672098,none,none,none
Nested Loop,Hash,Inner,None,None,47.0,43.0,1.49,61.88,89.0,1.0,41.530201342281885,1.672098,none,none,none
Hash Join,Nested Loop,Inner,None,None,62.0,58.0,1.21,20.53,70.0,1.0,16.96694214876033,1.792392,none,category_id=category_id,none
Seq Scan,Hash Join,None,film_category,fc,1000.0,1000.0,0.0,16.0,4.0,1.0,16.0,3.0,none,none,none
Hash,Hash Join,None,None,None,1.0,1.0,1.2,1.2,72.0,0.016129032258064516,1.0,0.0,none,none,none
Seq Scan,Hash,None,category,c,1.0,1.0,0.0,1.2,72.0,1.0,1.2,0.0,name::text ~~ '%comedy%'::text,none,none
Index Scan,Nested Loop,None,film,f,1.0,1.0,0.28,0.67,19.0,0.02127659574468085,2.392857142857143,0.0,length > #,none,none
Index Scan,Nested Loop,None,rental,r,4.0,3.0,0.29,0.51,8.0,0.005312084993359893,1.7586206896551726,0.60206,none,none,none
Limit,ROOT,None,None,None,90.0,90.0,424.48,427.85,25.0,1.0,1.0079391255182812,1.954243,none,none,none
Aggregate,Limit,None,None,None,200.0,90.0,424.48,431.97,25.0,1.0,1.0176451187335092,2.30103,countpayment_id > #,none,none
Hash Join,Aggregate,Inner,None,None,14595.0,14596.0,22.48,351.51,21.0,1.0,15.636565836298931,4.164204,none,customer_id=customer_id,none
Seq Scan,Hash Join,None,payment,p,14595.0,14596.0,0.0,290.45,6.0,1.0,290.45,4.164204,payment_date > '#-#-# #:#:#'::timestamp without time zone,none,none
Hash,Hash Join,None,None,None,599.0,599.0,14.99,14.99,17.0,0.041041452552243916,1.0,2.777427,none,none,none
Seq Scan,Hash,None,customer,c,599.0,599.0,0.0,14.99,17.0,1.0,14.99,2.777427,none,none,none
Limit,ROOT,None,None,None,13.0,13.0,62.82,62.86,85.0,1.0,1.0006367398917542,1.113943,none,none,none
Sort,Limit,None,None,None,40.0,13.0,62.82,62.92,85.0,1.0,1.0015918497293856,1.60206,none,none,none
Nested Loop,Sort,Inner,None,None,40.0,34.0,1.49,61.88,85.0,1.0,41.530201342281885,1.60206,none,none,none
Hash Join,Nested Loop,Inner,None,None,62.0,61.0,1.21,20.53,70.0,1.0,16.96694214876033,1.792392,none,category_id=category_id,none
Seq Scan,Hash Join,None,film_category,fc,1000.0,1000.0,0.0,16.0,4.0,1.0,16.0,3.0,none,none,none
Hash,Hash Join,None,None,None,1.0,1.0,1.2,1.2,72.0,0.016129032258064516,1.0,0.0,none,none,none
Seq Scan,Hash,None,category,c,1.0,1.0,0.0,1.2,72.0,1.0,1.2,0.0,name::text = 'sci-fi'::text,none,none
Index Scan,Nested Loop,None,film,f,1.0,1.0,0.28,0.67,21.0,0.025,2.392857142857143,0.0,length > #,none,none
Limit,ROOT,None,None,None,1.0,0.0,298.78,298.8,25.0,1.0,1.0000669388847983,0.0,none,none,none
Aggregate,Limit,None,None,None,1.0,0.0,298.78,298.8,25.0,1.0,1.0000669388847983,0.0,countpayment_id > #,none,none
Sort,Aggregate,None,None,None,1.0,0.0,298.78,298.78,21.0,1.0,1.0,0.0,none,none,none
Nested Loop,Sort,Inner,None,None,1.0,0.0,0.28,298.77,21.0,1.0,1067.0357142857142,0.0,none,none,none
Seq Scan,Nested Loop,None,payment,p,1.0,0.0,0.0,290.45,6.0,1.0,290.45,0.0,payment_date > '#-#-# #:#:#'::timestamp without time zone,none,none
Index Scan,Nested Loop,None,customer,c,1.0,0.0,0.28,8.29,17.0,1.0,29.60714285714285,0.0,none,none,none
Limit,ROOT,None,None,None,1.0,0.0,298.78,298.8,25.0,1.0,1.0000669388847983,0.0,none,none,none
Aggregate,Limit,None,None,None,1.0,0.0,298.78,298.8,25.0,1.0,1.0000669388847983,0.0,countpayment_id > #,none,none
Sort,Aggregate,None,None,None,1.0,0.0,298.78,298.78,21.0,1.0,1.0,0.0,none,none,none
Nested Loop,Sort,Inner,None,None,1.0,0.0,0.28,298.77,21.0,1.0,1067.0357142857142,0.0,none,none,none
Seq Scan,Nested Loop,None,payment,p,1.0,0.0,0.0,290.45,6.0,1.0,290.45,0.0,payment_date > '#-#-# #:#:#'::timestamp without time zone,none,none
Index Scan,Nested Loop,None,customer,c,1.0,0.0,0.28,8.29,17.0,1.0,29.60714285714285,0.0,none,none,none
Limit,ROOT,None,None,None,22.0,22.0,62.62,62.67,85.0,1.0,1.0007984669434686,1.342423,none,none,none
Sort,Limit,None,None,None,30.0,22.0,62.62,62.69,85.0,1.0,1.001117853720856,1.477121,none,none,none
Nested Loop,Sort,Inner,None,None,30.0,25.0,1.49,61.88,85.0,1.0,41.530201342281885,1.477121,none,none,none
Hash Join,Nested Loop,Inner,None,None,62.0,61.0,1.21,20.53,70.0,1.0,16.96694214876033,1.792392,none,category_id=category_id,none
Seq Scan,Hash Join,None,film_category,fc,1000.0,1000.0,0.0,16.0,4.0,1.0,16.0,3.0,none,none,none
Hash,Hash Join,None,None,None,1.0,1.0,1.2,1.2,72.0,0.016129032258064516,1.0,0.0,none,none,none
Seq Scan,Hash,None,category,c,1.0,1.0,0.0,1.2,72.0,1.0,1.2,0.0,name::text = 'sci-fi'::text,none,none
Index Scan,Nested Loop,None,film,f,1.0,0.0,0.28,0.67,21.0,0.03333333333333333,2.392857142857143,0.0,length > #,none,none
Limit,ROOT,None,None,None,9.0,9.0,282.88,282.9,95.0,1.0,1.000070701357466,0.954243,none,none,none
Sort,Limit,None,None,None,233.0,9.0,282.88,283.46,95.0,1.0,1.0020503393665159,2.367356,none,none,none
Aggregate,Sort,None,None,None,233.0,50.0,269.28,278.02,95.0,1.0,1.0324569221628046,2.367356,countrental_id > #,none,none
Nested Loop,Aggregate,Inner,None,None,707.0,811.0,62.72,263.98,91.0,1.0,4.208864795918368,2.849419,none,none,none
Hash Join,Nested Loop,Inner,None,None,202.0,233.0,62.43,152.44,91.0,0.2857142857142857,2.4417747877622937,2.305351,none,film_id=film_id,none
Seq Scan,Hash Join,None,inventory,i,4581.0,4581.0,0.0,70.81,6.0,1.0,70.81,3.66096,none,none,none
Hash,Hash Join,None,None,None,44.0,52.0,61.88,61.88,89.0,0.21782178217821782,1.0,1.643453,none,none,none
Nested Loop,Hash,Inner,None,None,44.0,52.0,1.49,61.88,89.0,1.0,41.530201342281885,1.643453,none,none,none
Hash Join,Nested Loop,Inner,None,None,62.0,69.0,1.21,20.53,70.0,1.0,16.96694214876033,1.792392,none,category_id=category_id,none
Seq Scan,Hash Join,None,film_category,fc,1000.0,1000.0,0.0,16.0,4.0,1.0,16.0,3.0,none,none,none
Hash,Hash Join,None,None,None,1.0,1.0,1.2,1.2,72.0,0.016129032258064516,1.0,0.0,none,none,none
Seq Scan,Hash,None,category,c,1.0,1.0,0.0,1.2,72.0,1.0,1.2,0.0,name::text ~~ '%family%'::text,none,none
Index Scan,Nested Loop,None,film,f,1.0,1.0,0.28,0.67,19.0,0.022727272727272728,2.392857142857143,0.0,length > #,none,none
Index Scan,Nested Loop,None,rental,r,4.0,3.0,0.29,0.51,8.0,0.005657708628005658,1.7586206896551726,0.60206,none,none,none
Limit,ROOT,None,None,None,9.0,9.0,62.05,62.07,85.0,1.0,1.0003223207091057,0.954243,none,none,none
Sort,Limit,None,None,None,10.0,9.0,62.05,62.08,85.0,1.0,1.0004834810636583,1.0,none,none,none
Nested Loop,Sort,Inner,None,None,10.0,12.0,1.49,61.89,85.0,1.0,41.53691275167785,1.0,none,none,none
Hash Join,Nested Loop,Inner,None,None,62.0,64.0,1.21,20.53,70.0,1.0,16.96694214876033,1.792392,none,category_id=category_id,none
Seq Scan,Hash Join,None,film_category,fc,1000.0,1000.0,0.0,16.0,4.0,1.0,16.0,3.0,none,none,none
Hash,Hash Join,None,None,None,1.0,1.0,1.2,1.2,72.0,0.016129032258064516,1.0,0.0,none,none,none
Seq Scan,Hash,None,category,c,1.0,1.0,0.0,1.2,72.0,1.0,1.2,0.0,name::text = 'action'::text,none,none
Index Scan,Nested Loop,None,film,f,1.0,0.0,0.28,0.67,21.0,0.1,2.392857142857143,0.0,length > #,none,none
Limit,ROOT,None,None,None,22.0,20.0,235.19,235.25,95.0,1.0,1.0002551128874526,1.342423,none,none,none
Sort,Limit,None,None,None,149.0,20.0,235.19,235.57,95.0,1.0,1.0016157149538671,2.173186,none,none,none
Aggregate,Sort,None,None,None,149.0,20.0,225.54,231.13,95.0,1.0,1.0247849605391506,2.173186,countrental_id > #,none,none
Nested Loop,Aggregate,Inner,None,None,448.0,415.0,62.52,222.18,91.0,1.0,3.5537428023032627,2.651278,none,none,none
Hash Join,Nested Loop,Inner,None,None,128.0,115.0,62.23,151.5,91.0,0.2857142857142857,2.4345171139321873,2.10721,none,film_id=film_id,none
Seq Scan,Hash Join,None,inventory,i,4581.0,4581.0,0.0,70.81,6.0,1.0,70.81,3.66096,none,none,none
Hash,Hash Join,None,None,None,28.0,27.0,61.88,61.88,89.0,0.21875,1.0,1.447158,none,none,none
Nested Loop,Hash,Inner,None,None,28.0,27.0,1.49,61.88,89.0,1.0,41.530201342281885,1.447158,none,none,none
Hash Join,Nested Loop,Inner,None,None,62.0,58.0,1.21,20.53,70.0,1.0,16.96694214876033,1.792392,none,category_id=category_id,none
Seq Scan,Hash Join,None,film_category,fc,1000.0,1000.0,0.0,16.0,4.0,1.0,16.0,3.0,none,none,none
Hash,Hash Join,None,None,None,1.0,1.0,1.2,1.2,72.0,0.016129032258064516,1.0,0.0,none,none,none
Seq Scan,Hash,None,category,c,1.0,1.0,0.0,1.2,72.0,1.0,1.2,0.0,name::text ~~ '%comedy%'::text,none,none
Index Scan,Nested Loop,None,film,f,1.0,0.0,0.28,0.67,19.0,0.03571428571428571,2.392857142857143,0.0,length > #,none,none
Index Scan,Nested Loop,None,rental,r,4.0,4.0,0.29,0.51,8.0,0.008928571428571428,1.7586206896551726,0.60206,none,none,none
Limit,ROOT,None,None,None,41.0,37.0,62.98,63.08,85.0,1.0,1.0015878056525882,1.612784,none,none,none
Sort,Limit,None,None,None,41.0,37.0,62.98,63.08,85.0,1.0,1.0015878056525882,1.612784,none,none,none
Nested Loop,Sort,Inner,None,None,41.0,37.0,1.49,61.88,85.0,1.0,41.530201342281885,1.612784,none,none,none
Hash Join,Nested Loop,Inner,None,None,62.0,58.0,1.21,20.53,70.0,1.0,16.96694214876033,1.792392,none,category_id=category_id,none
Seq Scan,Hash Join,None,film_category,fc,1000.0,1000.0,0.0,16.0,4.0,1.0,16.0,3.0,none,none,none
Hash,Hash Join,None,None,None,1.0,1.0,1.2,1.2,72.0,0.016129032258064516,1.0,0.0,none,none,none
Seq Scan,Hash,None,category,c,1.0,1.0,0.0,1.2,72.0,1.0,1.2,0.0,name::text = 'comedy'::text,none,none
Index Scan,Nested Loop,None,film,f,1.0,1.0,0.28,0.67,21.0,0.024390243902439025,2.392857142857143,0.0,length > #,none,none
Limit,ROOT,None,None,None,17.0,7.0,240.93,240.98,95.0,1.0,1.0002075291578465,1.230449,none,none,none
Sort,Limit,None,None,None,160.0,7.0,240.93,241.33,95.0,1.0,1.0016602332627735,2.20412,none,none,none
Aggregate,Sort,None,None,None,160.0,7.0,230.86,236.86,95.0,1.0,1.0259897773542406,2.20412,countrental_id > #,none,none
Nested Loop,Aggregate,Inner,None,None,480.0,449.0,62.54,227.26,91.0,1.0,3.633834346018548,2.681241,none,none,none
Hash Join,Nested Loop,Inner,None,None,137.0,131.0,62.26,151.62,91.0,0.28541666666666665,2.43527144233858,2.136721,none,film_id=film_id,none
Seq Scan,Hash Join,None,inventory,i,4581.0,4581.0,0.0,70.81,6.0,1.0,70.81,3.66096,none,none,none
Hash,Hash Join,None,None,None,30.0,28.0,61.88,61.88,89.0,0.21897810218978103,1.0,1.477121,none,none,none
Nested Loop,Hash,Inner,None,None,30.0,28.0,1.49,61.88,89.0,1.0,41.530201342281885,1.477121,none,none,none
Hash Join,Nested Loop,Inner,None,None,62.0,64.0,1.21,20.53,70.0,1.0,16.96694214876033,1.792392,none,category_id=category_id,none
Seq Scan,Hash Join,None,film_category,fc,1000.0,1000.0,0.0,16.0,4.0,1.0,16.0,3.0,none,none,none
Hash,Hash Join,None,None,None,1.0,1.0,1.2,1.2,72.0,0.016129032258064516,1.0,0.0,none,none,none
Seq Scan,Hash,None,category,c,1.0,1.0,0.0,1.2,72.0,1.0,1.2,0.0,name::text ~~ '%action%'::text,none,none
Index Scan,Nested Loop,None,film,f,1.0,0.0,0.28,0.67,19.0,0.03333333333333333,2.392857142857143,0.0,length > #,none,none
Index Scan,Nested Loop,None,rental,r,4.0,3.0,0.29,0.51,8.0,0.008333333333333333,1.7586206896551726,0.60206,none,none,none
Limit,ROOT,None,None,None,18.0,1.0,229.03,229.07,95.0,1.0,1.0001746496092214,1.255273,none,none,none
Sort,Limit,None,None,None,139.0,1.0,229.03,229.38,95.0,1.0,1.001528184080688,2.143015,none,none,none
Aggregate,Sort,None,None,None,139.0,1.0,220.22,225.44,95.0,1.0,1.0237035691581147,2.143015,countrental_id > #,none,none
Nested Loop,Aggregate,Inner,None,None,417.0,433.0,62.49,217.1,91.0,1.0,3.47415586493839,2.620136,none,none,none
Hash Join,Nested Loop,Inner,None,None,119.0,126.0,62.21,151.39,91.0,0.2853717026378897,2.433531586561646,2.075547,none,film_id=film_id,none
Seq Scan,Hash Join,None,inventory,i,4581.0,4581.0,0.0,70.81,6.0,1.0,70.81,3.66096,none,none,none
Hash,Hash Join,None,None,None,26.0,27.0,61.88,61.88,89.0,0.2184873949579832,1.0,1.414973,none,none,none
Nested Loop,Hash,Inner,None,None,26.0,27.0,1.49,61.88,89.0,1.0,41.530201342281885,1.414973,none,none,none
Hash Join,Nested Loop,Inner,None,None,62.0,64.0,1.21,20.53,70.0,1.0,16.96694214876033,1.792392,none,category_id=category_id,none
Seq Scan,Hash Join,None,film_category,fc,1000.0,1000.0,0.0,16.0,4.0,1.0,16.0,3.0,none,none,none
Hash,Hash Join,None,None,None,1.0,1.0,1.2,1.2,72.0,0.016129032258064516,1.0,0.0,none,none,none
Seq Scan,Hash,None,category,c,1.0,1.0,0.0,1.2,72.0,1.0,1.2,0.0,name::text ~~ '%action%'::text,none,none
Index Scan,Nested Loop,None,film,f,1.0,0.0,0.28,0.67,19.0,0.038461538461538464,2.392857142857143,0.0,length > #,none,none
Index Scan,Nested Loop,None,rental,r,4.0,3.0,0.29,0.51,8.0,0.009592326139088728,1.7586206896551726,0.60206,none,none,none
Limit,ROOT,None,None,None,28.0,0.0,220.15,220.22,25.0,1.0,1.0003179650238474,1.447158,none,none,none
Sort,Limit,None,None,None,67.0,0.0,220.15,220.32,25.0,1.0,1.0007722007722006,1.826075,none,none,none
Aggregate,Sort,None,None,None,67.0,0.0,215.71,218.21,25.0,1.0,1.0115896342311437,1.826075,countfilm_id > #,none,none
Hash Join,Aggregate,Inner,None,None,972.0,976.0,109.22,210.85,19.0,1.0,1.9305072331074895,2.987666,none,actor_id=actor_id,none
Hash Join,Hash Join,Inner,None,None,972.0,976.0,102.72,201.74,4.0,1.0,1.9639797507788164,2.987666,none,film_id=film_id,none
Seq Scan,Hash Join,None,film_actor,fa,5462.0,5462.0,0.0,84.62,4.0,1.0,84.62,3.737352,none,none,none
Hash,Hash Join,None,None,None,178.0,178.0,100.5,100.5,4.0,0.1831275720164609,1.0,2.25042,none,none,none
Seq Scan,Hash,None,film,f,178.0,178.0,0.0,100.5,4.0,1.0,100.5,2.25042,rating = 'g'::mpaa_rating,none,none
Hash,Hash Join,None,None,None,200.0,200.0,4.0,4.0,17.0,0.205761316872428,1.0,2.30103,none,none,none
